orf,strand,frame,start,length,gc_content,stop_codon
orf1717,+,0,2586990,348,0.506,TAA
orf1718,+,0,2588076,504,0.48,TGA
orf1719,+,1,2589373,324,0.5,TAA
orf1720,+,0,2589867,498,0.43,TAA
orf1721,+,2,2590892,1152,0.511,TGA
orf1722,+,1,2596105,351,0.47,TAA
orf1723,+,2,2597201,417,0.439,TAG
orf1724,+,2,2598104,300,0.543,TAA
orf1725,+,1,2598415,618,0.534,TGA
orf1726,+,0,2599029,366,0.527,TAA
orf1727,+,0,2599401,2823,0.575,TGA
orf1728,+,1,2602300,960,0.548,TAA
orf1729,+,2,2603264,315,0.505,TAA
orf1730,+,2,2604686,345,0.493,TGA
orf1731,+,0,2606679,369,0.561,TGA
orf1732,+,0,2607072,321,0.517,TAA
orf1733,+,2,2609177,330,0.552,TGA
orf1734,+,2,2609585,327,0.508,TAA
orf1735,+,0,2611053,603,0.541,TAA
orf1736,+,1,2611570,456,0.559,TGA
orf1737,+,2,2617349,468,0.462,TAA
orf1738,+,0,2621847,387,0.509,TAA
orf1739,+,0,2626383,1416,0.522,TAA
orf1740,+,0,2627823,411,0.494,TGA
orf1741,+,2,2628233,366,0.516,TGA
orf1742,+,1,2628676,1488,0.495,TAA
orf1743,+,1,2630797,1206,0.549,TGA
orf1744,+,0,2632341,669,0.525,TGA
orf1745,+,2,2633120,480,0.469,TGA
orf1746,+,1,2635258,300,0.457,TGA
orf1747,+,1,2637712,1659,0.546,TAA
orf1748,+,2,2638412,408,0.544,TGA
orf1749,+,2,2639363,996,0.559,TGA
orf1750,+,0,2640351,687,0.571,TAA
orf1751,+,1,2640901,1572,0.59,TAA
orf1752,+,1,2642491,444,0.529,TGA
orf1753,+,0,2642931,1128,0.548,TAA
orf1754,+,2,2644163,465,0.533,TAA
orf1755,+,0,2644587,1050,0.528,TGA
orf1756,+,2,2645633,414,0.551,TAG
orf1757,+,1,2646049,366,0.555,TGA
orf1758,+,0,2646414,738,0.534,TAG
orf1759,+,1,2647438,786,0.477,TAA
orf1760,+,0,2647461,339,0.54,TAA
orf1761,+,2,2648513,624,0.383,TAA
orf1762,+,0,2650056,816,0.521,TAA
orf1763,+,2,2653430,504,0.52,TGA
orf1764,+,1,2654032,300,0.497,TAA
orf1765,+,2,2654084,921,0.532,TAA
orf1766,+,0,2655846,507,0.535,TAA
orf1767,+,1,2658565,675,0.447,TAA
orf1768,+,0,2659206,576,0.439,TAA
orf1769,+,0,2660373,852,0.487,TAA
orf1770,+,1,2663494,414,0.418,TAA
orf1771,+,0,2664015,1005,0.527,TGA
orf1772,+,0,2665020,636,0.483,TAA
orf1773,+,1,2665891,672,0.388,TGA
orf1774,+,1,2666905,531,0.422,TAA
orf1775,+,0,2668572,654,0.333,TAA
orf1776,+,0,2669550,1014,0.502,TGA
orf1777,+,1,2669830,405,0.543,TGA
orf1778,+,0,2670849,735,0.619,TGA
orf1779,+,2,2671703,348,0.603,TGA
orf1780,+,2,2674010,783,0.582,TGA
orf1781,+,0,2674635,396,0.644,TAG
orf1782,+,2,2676158,348,0.601,TGA
orf1783,+,2,2676854,315,0.606,TGA
orf1784,+,2,2677352,693,0.597,TAA
orf1785,+,0,2677383,645,0.602,TGA
orf1786,+,2,2678252,333,0.64,TGA
orf1787,+,0,2678910,303,0.601,TGA
orf1788,+,2,2679383,735,0.599,TGA
orf1789,+,0,2679468,414,0.606,TGA
orf1790,+,2,2680721,462,0.584,TGA
orf1791,+,2,2681846,1335,0.543,TGA
orf1792,+,0,2682654,300,0.53,TAG
orf1793,+,2,2684345,312,0.606,TGA
orf1794,+,1,2684866,576,0.611,TGA
orf1795,+,2,2686613,597,0.58,TGA
orf1796,+,2,2688179,525,0.554,TGA
orf1797,+,2,2691668,330,0.467,TAG
orf1798,+,1,2692267,384,0.518,TAA
orf1799,+,1,2693530,327,0.541,TGA
orf1800,+,0,2693853,891,0.54,TGA
orf1801,+,1,2694709,336,0.506,TAA
orf1802,+,2,2697041,300,0.563,TAA
orf1803,+,2,2699447,309,0.511,TAA
orf1804,+,0,2700198,531,0.552,TGA
orf1805,+,1,2702644,420,0.49,TGA
orf1806,+,2,2704559,351,0.575,TAA
orf1807,+,1,2706202,648,0.426,TAA
orf1808,+,0,2708226,2199,0.491,TGA
orf1809,+,1,2708734,474,0.517,TGA
orf1810,+,1,2710360,339,0.493,TAA
orf1811,+,1,2710960,1023,0.434,TAA
orf1812,+,2,2712218,798,0.457,TAA
orf1813,+,2,2713478,4008,0.506,TAA
orf1814,+,0,2717661,3828,0.493,TGA
orf1815,+,1,2723116,1317,0.503,TGA
orf1816,+,0,2724378,1611,0.493,TAA
orf1817,+,1,2725000,330,0.506,TAA
orf1818,+,0,2726607,441,0.383,TAA
orf1819,+,0,2735595,381,0.517,TGA
orf1820,+,2,2735972,348,0.586,TAA
orf1821,+,0,2736369,1539,0.585,TAA
orf1822,+,1,2739343,2160,0.452,TGA
orf1823,+,0,2741874,327,0.526,TGA
orf1824,+,2,2742197,891,0.535,TGA
orf1825,+,0,2743053,900,0.526,TGA
orf1826,+,2,2744201,654,0.538,TGA
orf1827,+,1,2744851,1071,0.545,TAA
orf1828,+,1,2746057,684,0.461,TAA
orf1829,+,1,2746756,411,0.414,TAA
orf1830,+,2,2747387,822,0.568,TGA
orf1831,+,2,2748290,480,0.542,TGA
orf1832,+,1,2748784,477,0.574,TAA
orf1833,+,2,2751080,357,0.499,TAA
orf1834,+,2,2755262,1428,0.5,TAA
orf1835,+,0,2756790,384,0.521,TAG
orf1836,+,1,2758972,468,0.53,TGA
orf1837,+,0,2762256,900,0.546,TGA
orf1838,+,2,2763161,1305,0.572,TGA
orf1839,+,1,2764462,1071,0.549,TGA
orf1840,+,0,2765532,1068,0.533,TAA
orf1841,+,2,2766599,591,0.558,TGA
orf1842,+,1,2767189,738,0.56,TAA
orf1843,+,0,2767908,777,0.521,TAA
orf1844,+,2,2768678,612,0.533,TGA
orf1845,+,2,2771942,939,0.521,TAG
orf1846,+,1,2775442,372,0.532,TAA
orf1847,+,0,2775642,585,0.552,TAA
orf1848,+,0,2779791,300,0.423,TGA
orf1849,+,0,2791269,414,0.563,TGA
orf1850,+,2,2791499,318,0.563,TAA
orf1851,+,0,2794035,486,0.521,TGA
orf1852,+,1,2794255,330,0.515,TAG
orf1853,+,0,2794842,594,0.542,TAA
orf1854,+,1,2795290,639,0.546,TGA
orf1855,+,1,2797264,816,0.556,TAA
orf1856,+,1,2798680,357,0.555,TAA
orf1857,+,1,2800054,360,0.553,TAA
orf1858,+,0,2800482,597,0.576,TAA
orf1859,+,1,2801689,396,0.588,TGA
orf1860,+,0,2802807,588,0.556,TGA
orf1861,+,1,2808445,306,0.546,TGA
orf1862,+,0,2809053,366,0.511,TGA
orf1863,+,1,2810917,354,0.531,TGA
orf1864,+,1,2811487,489,0.53,TAG
orf1865,+,2,2813276,1584,0.53,TGA
orf1866,+,1,2814934,339,0.422,TGA
orf1867,+,0,2819112,534,0.543,TAA
orf1868,+,1,2819737,450,0.538,TAA
orf1869,+,2,2819975,2457,0.522,TGA
orf1870,+,1,2823562,1305,0.566,TAA
orf1871,+,0,2827935,327,0.505,TGA
orf1872,+,2,2829329,1368,0.544,TGA
orf1873,+,1,2830696,3123,0.565,TAA
orf1874,+,1,2833909,2988,0.565,TAA
orf1875,+,0,2836167,441,0.569,TGA
orf1876,+,1,2836897,1416,0.554,TGA
orf1877,+,0,2838309,1404,0.539,TGA
orf1878,+,2,2839709,723,0.539,TAG
orf1879,+,0,2840583,372,0.481,TAA
orf1880,+,0,2841102,1362,0.54,TGA
orf1881,+,2,2843516,900,0.498,TAA
orf1882,+,1,2850679,354,0.48,TAG
orf1883,+,1,2852353,1278,0.506,TGA
orf1884,+,0,2853627,1005,0.556,TGA
orf1885,+,2,2854628,966,0.563,TAG
orf1886,+,2,2856299,300,0.487,TGA
orf1887,+,1,2857441,318,0.566,TGA
orf1888,+,2,2858492,300,0.537,TAA
orf1889,+,2,2860457,348,0.408,TAA
orf1890,+,2,2860814,315,0.4,TAA
orf1891,+,0,2861631,840,0.504,TAA
orf1892,+,1,2862508,519,0.461,TAA
orf1893,+,2,2868980,309,0.502,TAA
orf1894,+,1,2870020,2043,0.526,TAA
orf1895,+,0,2872203,729,0.464,TAG
orf1896,+,0,2873121,2892,0.491,TAA
orf1897,+,0,2876025,1281,0.432,TGA
orf1898,+,1,2877469,1542,0.534,TAA
orf1899,+,1,2879020,3630,0.507,TAA
orf1900,+,2,2882711,318,0.384,TAA
orf1901,+,0,2884203,1155,0.528,TGA
orf1902,+,1,2885368,1530,0.55,TAG
orf1903,+,1,2886916,732,0.571,TGA
orf1904,+,2,2887415,1362,0.545,TGA
orf1905,+,1,2888773,2238,0.546,TGA
orf1906,+,1,2892202,474,0.418,TAA
orf1907,+,2,2893775,390,0.515,TGA
orf1908,+,0,2894835,480,0.525,TAG
orf1909,+,1,2895163,336,0.56,TAG
orf1910,+,0,2896926,735,0.619,TGA
orf1911,+,2,2897780,348,0.595,TGA
orf1912,+,2,2900084,648,0.574,TGA
orf1913,+,0,2900547,555,0.638,TAG
orf1914,+,2,2902229,348,0.601,TGA
orf1915,+,2,2902925,315,0.606,TGA
orf1916,+,2,2903423,693,0.597,TAA
orf1917,+,0,2903454,645,0.602,TGA
orf1918,+,2,2904323,333,0.64,TGA
orf1919,+,0,2904981,303,0.601,TGA
orf1920,+,2,2905454,696,0.601,TAA
orf1921,+,0,2905539,414,0.614,TGA
orf1922,+,0,2907039,465,0.602,TGA
orf1923,+,0,2907975,306,0.516,TAA
orf1924,+,0,2908593,675,0.553,TGA
orf1925,+,1,2908741,300,0.547,TAG
orf1926,+,2,2909816,369,0.588,TAA
orf1927,+,2,2910227,384,0.583,TAA
orf1928,+,2,2912255,327,0.538,TGA
orf1929,+,1,2912578,891,0.54,TGA
orf1930,+,1,2915176,300,0.53,TAA
orf1931,+,1,2916010,330,0.567,TAG
orf1932,+,2,2916287,573,0.579,TGA
orf1933,+,0,2920794,321,0.548,TAG
orf1934,+,2,2922998,342,0.52,TGA
orf1935,+,0,2923428,312,0.567,TAA
orf1936,+,2,2926577,312,0.481,TGA
orf1937,+,2,2928263,315,0.505,TGA
orf1938,+,0,2932749,648,0.525,TGA
orf1939,+,2,2933807,552,0.413,TAA
orf1940,+,1,2934841,303,0.502,TGA
orf1941,+,1,2936002,369,0.385,TGA
orf1942,+,1,2937097,786,0.522,TGA
orf1943,+,0,2937879,678,0.516,TAA
orf1944,+,0,2940003,456,0.443,TGA
orf1945,+,1,2940970,357,0.482,TGA
orf1946,+,0,2941323,363,0.496,TGA
orf1947,+,0,2942460,1287,0.434,TAA
orf1948,+,2,2943938,531,0.533,TAA
orf1949,+,0,2946120,594,0.551,TAA
orf1950,+,2,2946992,321,0.576,TGA
orf1951,+,1,2947006,327,0.584,TAA
orf1952,+,0,2949066,609,0.558,TGA
orf1953,+,0,2949807,552,0.542,TGA
orf1954,+,0,2951067,1746,0.52,TAA
orf1955,+,1,2952292,336,0.524,TGA
orf1956,+,1,2954677,615,0.535,TAA
orf1957,+,1,2955343,354,0.542,TAA
orf1958,+,0,2957028,345,0.583,TGA
orf1959,+,0,2959335,519,0.574,TGA
orf1960,+,0,2960304,303,0.604,TGA
orf1961,+,1,2961727,330,0.539,TAA
orf1962,+,0,2963790,513,0.626,TGA
orf1963,+,2,2964530,957,0.496,TAG
orf1964,+,0,2965617,399,0.494,TGA
orf1965,+,2,2966012,696,0.537,TAA
orf1966,+,2,2966837,885,0.547,TAA
orf1967,+,1,2967871,720,0.481,TAG
orf1968,+,1,2969026,1239,0.514,TAA
orf1969,+,2,2969048,402,0.507,TGA
orf1970,+,0,2970258,1236,0.51,TAA
orf1971,+,0,2973276,333,0.52,TGA
orf1972,+,1,2973835,330,0.442,TAG
orf1973,+,2,2974283,459,0.519,TAA
orf1974,+,2,2974817,336,0.512,TGA
orf1975,+,2,2978303,300,0.487,TAA
orf1976,+,1,2978902,837,0.544,TGA
orf1977,+,2,2981219,462,0.513,TAA
orf1978,+,0,2981589,300,0.493,TGA
orf1979,+,0,2982339,417,0.561,TAG
orf1980,+,1,2984695,1050,0.531,TAA
orf1981,+,2,2985818,858,0.524,TGA
orf1982,+,1,2986678,1089,0.516,TAA
orf1983,+,0,2988183,318,0.544,TAA
orf1984,+,2,2990282,660,0.438,TAA
orf1985,+,0,2992278,465,0.546,TAA
orf1986,+,0,2998791,1182,0.531,TAA
orf1987,+,0,3000123,828,0.506,TAA
orf1988,+,0,3001164,1476,0.526,TAA
orf1989,+,0,3002946,798,0.549,TAA
orf1990,+,2,3003782,714,0.44,TAA
orf1991,+,0,3004908,567,0.469,TAA
orf1992,+,0,3005655,1557,0.506,TAA
orf1993,+,0,3007293,1815,0.507,TAG
orf1994,+,0,3009108,1095,0.513,TAA
orf1995,+,2,3010202,1026,0.53,TAG
orf1996,+,0,3011229,1590,0.515,TGA
orf1997,+,2,3012704,324,0.506,TAA
orf1998,+,0,3013539,393,0.511,TAA
orf1999,+,2,3014198,306,0.592,TAA
orf2000,+,0,3015561,1761,0.531,TAA
orf2001,+,1,3017788,630,0.529,TAA
orf2002,+,0,3019305,1761,0.521,TGA
orf2003,+,2,3021749,471,0.518,TGA
orf2004,+,2,3022259,303,0.502,TGA
orf2005,+,0,3024198,678,0.512,TAA
orf2006,+,1,3026395,315,0.575,TGA
orf2007,+,0,3027165,600,0.573,TAA
orf2008,+,0,3029010,312,0.532,TGA
orf2009,+,2,3029321,336,0.58,TGA
orf2010,+,2,3030248,384,0.544,TGA
orf2011,+,0,3031263,579,0.508,TGA
orf2012,+,0,3032064,369,0.566,TGA
orf2013,+,0,3034926,474,0.546,TAA
orf2014,+,1,3037456,489,0.501,TAA
orf2015,+,1,3040294,492,0.553,TAA
orf2016,+,1,3046474,2673,0.494,TAG
orf2017,+,2,3049127,687,0.469,TAA
orf2018,+,0,3054381,327,0.55,TAG
orf2019,+,1,3062638,300,0.527,TAA
orf2020,+,0,3063423,621,0.556,TAA
orf2021,+,0,3064056,972,0.522,TAG
orf2022,+,2,3065288,771,0.536,TGA
orf2023,+,1,3067984,438,0.543,TGA
orf2024,+,0,3070647,2286,0.539,TGA
orf2025,+,1,3073027,1263,0.516,TGA
orf2026,+,2,3074681,438,0.489,TAG
orf2027,+,2,3075878,324,0.574,TGA
orf2028,+,2,3076670,879,0.429,TGA
orf2029,+,0,3078012,1071,0.324,TAA
orf2030,+,1,3079450,462,0.455,TAA
orf2031,+,1,3080143,321,0.486,TAA
orf2032,+,1,3082018,1629,0.573,TGA
orf2033,+,2,3083564,1332,0.558,TGA
orf2034,+,1,3084817,1266,0.543,TAA
orf2035,+,1,3086275,927,0.485,TAA
orf2036,+,1,3088132,330,0.582,TAG
orf2037,+,1,3088891,327,0.541,TGA
orf2038,+,0,3089214,891,0.54,TGA
orf2039,+,2,3095129,363,0.496,TAA
orf2040,+,2,3096422,1158,0.513,TAA
orf2041,+,2,3097583,969,0.499,TAA
orf2042,+,1,3098551,1983,0.515,TGA
orf2043,+,2,3098969,360,0.558,TGA
orf2044,+,0,3100530,891,0.531,TGA
orf2045,+,2,3101420,1653,0.509,TGA
orf2046,+,1,3103069,336,0.536,TAA
orf2047,+,0,3103404,387,0.483,TGA
orf2048,+,0,3105618,315,0.587,TAA
orf2049,+,1,3107020,477,0.522,TAA
orf2050,+,0,3108645,651,0.594,TGA
orf2051,+,1,3112120,918,0.504,TAA
orf2052,+,2,3113225,1224,0.35,TAA
orf2053,+,2,3115580,504,0.452,TGA
orf2054,+,2,3118421,567,0.534,TGA
orf2055,+,2,3119504,357,0.594,TGA
orf2056,+,1,3120145,1056,0.58,TAA
orf2057,+,2,3120953,366,0.577,TGA
orf2058,+,2,3124169,510,0.561,TAA
orf2059,+,2,3125054,999,0.555,TAA
orf2060,+,0,3126732,438,0.591,TAA
orf2061,+,0,3127209,567,0.549,TGA
orf2062,+,2,3127928,300,0.58,TAG
orf2063,+,1,3128323,1434,0.568,TAA
orf2064,+,0,3131742,453,0.497,TAA
orf2065,+,2,3133730,1218,0.504,TAA
orf2066,+,1,3135031,600,0.498,TAA
orf2067,+,2,3135491,309,0.518,TAA
orf2068,+,0,3137076,462,0.489,TAA
orf2069,+,2,3138308,333,0.505,TAA
orf2070,+,2,3139640,1203,0.525,TGA
orf2071,+,1,3140932,2130,0.555,TAA
orf2072,+,1,3143251,1521,0.523,TAA
orf2073,+,1,3146791,648,0.519,TAA
orf2074,+,0,3147495,363,0.444,TAA
orf2075,+,2,3147878,894,0.548,TGA
orf2076,+,0,3149256,300,0.433,TAA
orf2077,+,2,3150002,414,0.563,TAA
orf2078,+,0,3151998,342,0.497,TAA
orf2079,+,2,3158063,510,0.571,TGA
orf2080,+,1,3158776,531,0.556,TGA
orf2081,+,2,3159461,666,0.559,TGA
orf2082,+,0,3159906,300,0.517,TAG
orf2083,+,1,3161383,336,0.536,TAA
orf2084,+,1,3164302,996,0.527,TAA
orf2085,+,1,3167110,768,0.57,TGA
orf2086,+,0,3168522,1611,0.52,TAA
orf2087,+,0,3170697,420,0.517,TAG
orf2088,+,0,3171804,399,0.534,TAA
orf2089,+,2,3172976,504,0.563,TAA
orf2090,+,1,3173518,408,0.532,TGA
orf2091,+,2,3173735,660,0.535,TAA
orf2092,+,2,3174398,456,0.529,TGA
orf2093,+,2,3174968,552,0.524,TGA
orf2094,+,2,3178523,300,0.517,TGA
orf2095,+,2,3179498,600,0.537,TGA
orf2096,+,0,3185247,315,0.514,TGA
orf2097,+,0,3187713,1347,0.504,TGA
orf2098,+,1,3189424,1032,0.347,TAA
orf2099,+,1,3191899,933,0.486,TAA
orf2100,+,0,3193143,1158,0.478,TAG
orf2101,+,1,3196813,348,0.511,TAA
orf2102,+,0,3197307,696,0.437,TAG
orf2103,+,2,3200750,627,0.475,TAA
orf2104,+,2,3203564,372,0.513,TGA
orf2105,+,0,3204414,1443,0.51,TAA
orf2106,+,2,3207338,1329,0.512,TAA
orf2107,+,0,3207915,366,0.522,TAG
orf2108,+,2,3209486,339,0.392,TAA
orf2109,+,1,3211891,615,0.4,TAA
orf2110,+,2,3212510,3594,0.41,TAA
orf2111,+,1,3219259,339,0.481,TAA
orf2112,+,2,3220421,333,0.465,TAA
orf2113,+,1,3221725,552,0.424,TGA
orf2114,+,1,3223777,921,0.517,TAA
orf2115,+,0,3225315,441,0.558,TGA
orf2116,+,2,3226547,309,0.369,TAA
orf2117,+,1,3226822,1680,0.51,TGA
orf2118,+,0,3228591,660,0.474,TAA
orf2119,+,0,3229263,858,0.533,TAA
orf2120,+,2,3231878,342,0.541,TAA
orf2121,+,0,3233313,384,0.573,TGA
orf2122,+,1,3233869,789,0.565,TGA
orf2123,+,1,3235534,303,0.521,TAA
orf2124,+,2,3236624,693,0.512,TGA
orf2125,+,0,3236664,351,0.524,TGA
orf2126,+,1,3237763,1257,0.54,TAG
orf2127,+,0,3238308,300,0.507,TAA
orf2128,+,1,3239134,327,0.532,TAA
orf2129,+,1,3241174,1203,0.494,TAA
orf2130,+,0,3244614,336,0.491,TAA
orf2131,+,2,3245234,360,0.497,TAA
orf2132,+,0,3245595,393,0.468,TGA
orf2133,+,1,3247243,543,0.462,TAA
orf2134,+,1,3248278,1128,0.503,TAG
orf2135,+,1,3249976,342,0.439,TGA
orf2136,+,0,3250719,495,0.529,TAA
orf2137,+,2,3251324,999,0.517,TAA
orf2138,+,0,3253179,390,0.549,TGA
orf2139,+,0,3254091,399,0.529,TGA
orf2140,+,0,3255150,339,0.634,TGA
orf2141,+,0,3255738,405,0.464,TAA
orf2142,+,1,3255853,762,0.497,TAA
orf2143,+,2,3256799,972,0.502,TAA
orf2144,+,0,3258456,1728,0.495,TAA
orf2145,+,1,3260224,510,0.473,TAA
orf2146,+,1,3262126,342,0.591,TGA
orf2147,+,2,3262793,339,0.519,TAA
orf2148,+,2,3263696,471,0.594,TGA
orf2149,+,0,3267321,429,0.538,TGA
orf2150,+,1,3268210,477,0.537,TAA
orf2151,+,2,3269057,897,0.54,TAA
orf2152,+,2,3269957,1425,0.563,TGA
orf2153,+,0,3271386,1305,0.52,TAA
orf2154,+,0,3272733,927,0.557,TGA
orf2155,+,2,3273848,327,0.508,TAA
orf2156,+,0,3275454,870,0.505,TAA
orf2157,+,0,3276327,900,0.546,TAA
orf2158,+,0,3281988,342,0.605,TAG
orf2159,+,0,3282618,363,0.617,TAA
orf2160,+,0,3283314,564,0.544,TGA
orf2161,+,2,3284456,459,0.573,TGA
orf2162,+,0,3284994,531,0.61,TGA
orf2163,+,1,3285637,318,0.531,TGA
orf2164,+,0,3285885,354,0.573,TGA
orf2165,+,1,3286075,309,0.599,TGA
orf2166,+,0,3286248,387,0.602,TGA
orf2167,+,2,3286550,636,0.569,TGA
orf2168,+,1,3286879,507,0.562,TAA
orf2169,+,2,3288311,456,0.57,TAA
orf2170,+,2,3288827,300,0.603,TGA
orf2171,+,1,3289126,333,0.622,TGA
orf2172,+,1,3290566,324,0.556,TAG
orf2173,+,2,3290657,546,0.553,TAG
orf2174,+,0,3292812,597,0.539,TGA
orf2175,+,0,3293433,408,0.571,TGA
orf2176,+,0,3293859,408,0.517,TAA
orf2177,+,0,3294789,951,0.504,TAA
orf2178,+,1,3295759,2004,0.545,TGA
orf2179,+,2,3299723,555,0.6,TAG
orf2180,+,2,3301292,381,0.491,TAA
orf2181,+,0,3302004,1551,0.514,TAA
orf2182,+,1,3303718,3114,0.542,TAA
orf2183,+,2,3307370,357,0.471,TAG
orf2184,+,2,3307730,1128,0.532,TGA
orf2185,+,1,3310129,399,0.524,TGA
orf2186,+,0,3311154,699,0.571,TGA
orf2187,+,1,3312316,306,0.526,TGA
orf2188,+,1,3316126,447,0.494,TAA
orf2189,+,0,3316572,471,0.497,TGA
orf2190,+,0,3317256,657,0.554,TAA
orf2191,+,2,3317912,2019,0.552,TAA
orf2192,+,0,3319941,948,0.538,TAA
orf2193,+,2,3320624,300,0.53,TGA
orf2194,+,1,3320905,1440,0.558,TAA
orf2195,+,0,3322356,651,0.535,TAA
orf2196,+,2,3322445,342,0.55,TAG
orf2197,+,1,3323011,1581,0.541,TAA
orf2198,+,2,3324536,1761,0.543,TAA
orf2199,+,2,3326306,546,0.557,TGA
orf2200,+,1,3326848,759,0.563,TGA
orf2201,+,2,3327536,477,0.52,TGA
orf2202,+,1,3328042,2013,0.528,TAA
orf2203,+,1,3330076,849,0.504,TGA
orf2204,+,1,3332236,1464,0.54,TAA
orf2205,+,2,3332999,336,0.527,TGA
orf2206,+,0,3333720,360,0.528,TAA
orf2207,+,1,3336220,906,0.49,TGA
orf2208,+,2,3336554,342,0.532,TAA
orf2209,+,1,3337453,924,0.538,TAA
orf2210,+,0,3338376,639,0.54,TAA
orf2211,+,2,3339185,2067,0.489,TAA
orf2212,+,0,3341217,1581,0.508,TAA
orf2213,+,0,3345936,516,0.471,TAA
orf2214,+,0,3346467,540,0.489,TAA
orf2215,+,0,3347112,366,0.549,TGA
orf2216,+,2,3347216,576,0.547,TGA
orf2217,+,2,3349124,333,0.568,TGA
orf2218,+,0,3350373,1371,0.535,TAA
orf2219,+,1,3353821,462,0.552,TAA
orf2220,+,2,3354626,468,0.511,TAA
orf2221,+,1,3356152,414,0.558,TAG
orf2222,+,0,3356778,453,0.532,TGA
orf2223,+,0,3357333,579,0.522,TGA
orf2224,+,0,3360540,528,0.509,TAA
orf2225,+,1,3363472,735,0.507,TGA
orf2226,+,1,3364684,333,0.505,TGA
orf2227,+,2,3367847,351,0.558,TAG
orf2228,+,1,3370636,306,0.542,TAA
orf2229,+,2,3370712,486,0.531,TGA
orf2230,+,0,3372993,321,0.52,TGA
orf2231,+,1,3373306,1005,0.51,TAA
orf2232,+,0,3375018,345,0.455,TGA
orf2233,+,0,3375390,351,0.51,TAA
orf2234,+,0,3378282,375,0.557,TAA
orf2235,+,1,3383212,405,0.565,TAA
orf2236,+,2,3383942,804,0.544,TAA
orf2237,+,2,3384863,882,0.501,TAA
orf2238,+,0,3385914,1302,0.511,TGA
orf2239,+,0,3389532,1362,0.535,TGA
orf2240,+,2,3390890,519,0.526,TGA
orf2241,+,1,3391408,321,0.555,TGA
orf2242,+,0,3391725,813,0.558,TAA
orf2243,+,0,3392547,1203,0.541,TAA
orf2244,+,0,3393846,423,0.501,TAG
orf2245,+,1,3395032,459,0.547,TAA
orf2246,+,1,3395872,366,0.549,TAA
orf2247,+,1,3396388,831,0.574,TAA
orf2248,+,1,3401419,393,0.565,TGA
orf2249,+,1,3402784,492,0.545,TGA
orf2250,+,1,3403363,1194,0.507,TGA
orf2251,+,1,3404647,309,0.518,TAG
orf2252,+,0,3404922,948,0.532,TAA
orf2253,+,0,3406179,1212,0.523,TGA
orf2254,+,0,3407469,345,0.496,TAA
orf2255,+,1,3412000,900,0.564,TGA
orf2256,+,1,3412909,861,0.571,TAA
orf2257,+,1,3415063,438,0.516,TAA
orf2258,+,2,3416747,993,0.511,TAA
orf2259,+,1,3418198,411,0.523,TAA
orf2260,+,2,3419069,921,0.51,TGA
orf2261,+,1,3421465,513,0.559,TAA
orf2262,+,2,3422831,375,0.517,TGA
orf2263,+,2,3423254,639,0.54,TGA
orf2264,+,1,3430792,1623,0.53,TAA
orf2265,+,2,3433268,1335,0.548,TAA
orf2266,+,1,3435670,537,0.51,TAA
orf2267,+,2,3436379,378,0.463,TGA
orf2268,+,0,3436950,657,0.53,TGA
orf2269,+,0,3438261,603,0.556,TAA
orf2270,+,2,3438932,420,0.495,TAA
orf2271,+,1,3439396,723,0.523,TAA
orf2272,+,2,3440150,1455,0.564,TGA
orf2273,+,0,3441633,1179,0.525,TGA
orf2274,+,2,3442925,1356,0.488,TAA
orf2275,+,0,3445455,732,0.46,TAA
orf2276,+,2,3452000,495,0.521,TGA
orf2277,+,2,3452588,333,0.523,TAA
orf2278,+,0,3453252,468,0.538,TGA
orf2279,+,1,3455173,486,0.547,TAA
orf2280,+,0,3456264,738,0.512,TAA
orf2281,+,0,3457272,342,0.462,TAG
orf2282,+,0,3457863,1161,0.49,TGA
orf2283,+,0,3461478,366,0.459,TAA
orf2284,+,2,3461993,519,0.457,TAA
orf2285,+,0,3462501,1227,0.486,TAA
orf2286,+,0,3463743,483,0.513,TAA
orf2287,+,2,3466478,537,0.529,TGA
orf2288,+,1,3467176,615,0.548,TAA
orf2289,+,2,3467894,867,0.517,TAA
orf2290,+,2,3468827,1242,0.514,TAA
orf2291,+,2,3470090,753,0.485,TGA
orf2292,+,1,3470839,879,0.498,TAA
orf2293,+,2,3471803,1662,0.52,TAA
orf2294,+,0,3473613,342,0.494,TAA
orf2295,+,1,3474904,483,0.507,TAA
orf2296,+,2,3477755,651,0.41,TAA
orf2297,+,2,3478484,1059,0.357,TAA
orf2298,+,1,3480391,300,0.523,TGA
orf2299,+,1,3480742,327,0.541,TGA
orf2300,+,0,3481065,891,0.54,TGA
orf2301,+,0,3486345,330,0.448,TAA
orf2302,+,1,3490525,756,0.467,TGA
orf2303,+,1,3505222,369,0.477,TAA
orf2304,+,1,3508582,1239,0.382,TAG
orf2305,+,1,3509827,1008,0.381,TAA
orf2306,+,1,3511066,1083,0.52,TAA
orf2307,+,2,3512168,1269,0.576,TAA
orf2308,+,0,3513459,1449,0.573,TAA
orf2309,+,1,3514921,1281,0.585,TAG
orf2310,+,1,3516439,1401,0.513,TGA
orf2311,+,0,3517842,681,0.533,TAA
orf2312,+,1,3519397,300,0.53,TAA
orf2313,+,1,3519706,519,0.461,TGA
orf2314,+,0,3521349,450,0.493,TGA
orf2315,+,1,3522319,342,0.532,TAG
orf2316,+,0,3524232,432,0.516,TAA
orf2317,+,0,3525114,411,0.562,TGA
orf2318,+,2,3525536,2106,0.52,TAA
